[2021-11-18 04:10:58,243] {DEBUG} __main__: #29 - Starting Division!
2023-06-19 09:03:49,173 - __main__ - INFO - Transaction #682957
2023-06-19 09:03:49,173 - __main__ - INFO - Available Balance = $102.0
2023-06-19 09:06:15,073 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:06:17,966 - __main__ - INFO - Entering the account pincode
2023-06-19 09:06:17,966 - __main__ - ERROR - Error! Invalid pin. Try again.
2023-06-19 09:06:20,334 - __main__ - INFO - Entering the account pincode
2023-06-19 09:06:25,065 - __main__ - ERROR - Error! You entered a non-number value to deposit.
2023-06-19 09:06:25,065 - __main__ - INFO - Transaction Info:
2023-06-19 09:06:25,065 - __main__ - INFO - Status: Failed
2023-06-19 09:06:25,065 - __main__ - INFO - Transaction #13410
2023-06-19 09:06:25,065 - __main__ - INFO - Timestamp: 2023-06-19 09:06:25.065923
2023-06-19 09:06:30,011 - __main__ - INFO - Entering amount to be withdrawn
2023-06-19 09:06:30,011 - __main__ - INFO - You withdrew: $-1.0
2023-06-19 09:06:30,011 - __main__ - INFO - Transaction Info:
2023-06-19 09:06:30,011 - __main__ - INFO - Status: Successful
2023-06-19 09:06:30,011 - __main__ - INFO - Transaction #876189
2023-06-19 09:06:30,011 - __main__ - INFO - Available Balance = $101.0
2023-06-19 09:06:38,929 - __main__ - INFO - Hello! Welcome to the ATM Depot!
2023-06-19 09:06:42,104 - __main__ - INFO - Entering the account pincode
2023-06-19 09:06:46,894 - __main__ - ERROR - Error! You entered a non-number value to deposit.
2023-06-19 09:06:46,894 - __main__ - INFO - Transaction Info:
2023-06-19 09:06:46,894 - __main__ - INFO - Status: Failed
2023-06-19 09:06:46,894 - __main__ - INFO - Transaction #528678
2023-06-19 09:06:46,894 - __main__ - INFO - Timestamp: 2023-06-19 09:06:46.894476
2023-06-19 09:07:02,114 - __main__ - ERROR - Error! You entered a non-number value to withdraw.
2023-06-19 09:07:02,114 - __main__ - INFO - Transaction Info:
2023-06-19 09:07:02,115 - __main__ - INFO - Status: Failed
2023-06-19 09:07:02,115 - __main__ - INFO - Transaction #400888
2023-06-19 09:07:02,115 - __main__ - INFO - Timestamp: 2023-06-19 09:07:02.115117
2023-06-19 09:07:02,115 - __main__ - INFO - Available Balance = $100
